side,mandate_id,subscription_amount,recovered,retries_taken,recovered_via
agent,active_mandate_00048,499.0,True,1,retry
agent,active_mandate_00049,299.0,True,1,retry
agent,active_mandate_00050,2499.0,True,2,retry
agent,active_mandate_00051,999.0,True,1,retry
agent,active_mandate_00052,499.0,True,2,retry
agent,active_mandate_00053,4999.0,True,2,retry
agent,active_mandate_00054,299.0,True,2,retry
agent,active_mandate_00055,199.0,True,2,retry
agent,active_mandate_00056,199.0,True,1,retry
agent,active_mandate_00057,1499.0,True,1,retry
agent,active_mandate_00058,199.0,True,3,retry
agent,active_mandate_00059,2499.0,True,1,retry
baseline,active_mandate_00000,4999.0,True,1,retry
baseline,active_mandate_00001,2499.0,True,2,retry
baseline,active_mandate_00002,199.0,True,1,retry
baseline,active_mandate_00003,499.0,True,2,retry
baseline,active_mandate_00004,2499.0,True,1,retry
baseline,active_mandate_00005,999.0,True,1,retry
baseline,active_mandate_00006,4999.0,True,3,retry
baseline,active_mandate_00007,1499.0,False,3,fallback_pending
baseline,active_mandate_00008,199.0,True,1,retry
baseline,active_mandate_00009,999.0,True,1,retry
baseline,active_mandate_00010,199.0,True,2,retry
baseline,active_mandate_00011,4999.0,True,2,retry
baseline,active_mandate_00012,999.0,False,3,fallback_pending
baseline,active_mandate_00013,299.0,True,1,retry
baseline,active_mandate_00014,999.0,True,1,retry
baseline,active_mandate_00015,1499.0,True,1,retry
baseline,active_mandate_00016,299.0,True,1,retry
baseline,active_mandate_00017,4999.0,False,3,fallback_pending
baseline,active_mandate_00018,2499.0,True,3,retry
baseline,active_mandate_00019,299.0,True,2,retry
baseline,active_mandate_00020,1499.0,True,3,retry
baseline,active_mandate_00021,499.0,True,1,retry
baseline,active_mandate_00022,2499.0,False,3,fallback_pending
baseline,active_mandate_00023,4999.0,True,1,retry
baseline,active_mandate_00024,1499.0,False,3,fallback_pending
baseline,active_mandate_00025,299.0,False,3,fallback_pending
baseline,active_mandate_00026,299.0,True,1,retry
baseline,active_mandate_00027,4999.0,False,3,fallback_pending
baseline,active_mandate_00028,4999.0,True,1,retry
baseline,active_mandate_00029,2499.0,True,1,retry
baseline,active_mandate_00030,2499.0,True,1,retry
baseline,active_mandate_00031,199.0,True,2,retry
baseline,active_mandate_00032,1499.0,True,2,retry
baseline,active_mandate_00033,199.0,True,2,retry
baseline,active_mandate_00034,199.0,False,3,fallback_pending
baseline,active_mandate_00035,199.0,True,1,retry
baseline,active_mandate_00036,999.0,True,2,retry
baseline,active_mandate_00037,1499.0,True,3,retry
baseline,active_mandate_00038,2499.0,True,3,retry
baseline,active_mandate_00039,1499.0,True,3,retry
baseline,active_mandate_00040,999.0,True,2,retry
baseline,active_mandate_00041,199.0,True,2,retry
baseline,active_mandate_00042,199.0,True,1,retry
baseline,active_mandate_00043,199.0,True,1,retry
baseline,active_mandate_00044,199.0,True,1,retry
baseline,active_mandate_00045,1499.0,True,1,retry
baseline,active_mandate_00046,2499.0,True,2,retry
baseline,active_mandate_00047,1499.0,True,2,retry
baseline,active_mandate_00048,499.0,True,1,retry
baseline,active_mandate_00049,299.0,True,1,retry
baseline,active_mandate_00050,2499.0,True,1,retry
baseline,active_mandate_00051,999.0,True,1,retry
baseline,active_mandate_00052,499.0,True,3,retry
baseline,active_mandate_00053,4999.0,False,3,fallback_pending
baseline,active_mandate_00054,299.0,True,2,retry
baseline,active_mandate_00055,199.0,True,3,retry
baseline,active_mandate_00056,199.0,True,1,retry
baseline,active_mandate_00057,1499.0,True,1,retry
baseline,active_mandate_00058,199.0,True,1,retry
baseline,active_mandate_00059,2499.0,True,1,retry
