mandate_id,payer_id,attempt_number,attempt_date,day_of_month,day_of_week,hour_of_day,is_salary_window,bank_name,payer_historical_success_rate,payer_tenure_months,subscription_amount,amount_tier,prior_failure_reason,outcome_success
mandate_00008,payer_00008,1,2025-07-26,26,5,9,False,Bank G (Tier3),0.672,26,2499.0,high,,False
mandate_00008,payer_00008,2,2025-07-31,31,3,21,True,Bank B (Tier1),0.672,26,199.0,low,insufficient_funds,True
mandate_00009,payer_00009,1,2025-10-11,11,5,12,False,Bank F (Tier2),0.257,13,299.0,low,,True
mandate_00010,payer_00010,1,2025-08-26,26,1,14,False,Bank G (Tier3),0.837,14,999.0,medium,,False
mandate_00010,payer_00010,2,2025-08-30,30,5,21,True,Bank D (Tier2),0.837,14,299.0,low,limit_exceeded,True
mandate_00011,payer_00011,1,2026-06-14,14,6,8,False,Bank D (Tier2),0.843,17,199.0,low,,True
mandate_00012,payer_00012,1,2025-04-20,20,6,21,False,Bank G (Tier3),0.499,14,299.0,low,,True
mandate_00013,payer_00013,1,2025-03-06,6,3,6,False,Bank A (Tier1),0.862,35,299.0,low,,True
mandate_00014,payer_00014,1,2026-05-31,31,6,6,True,Bank C (Tier1),0.716,17,299.0,low,,True
mandate_00015,payer_00015,1,2025-03-29,29,5,16,True,Bank H (Tier3),0.865,5,299.0,low,,True
mandate_00016,payer_00016,1,2026-04-10,10,4,11,False,Bank G (Tier3),0.433,6,999.0,medium,,False
mandate_00016,payer_00016,2,2026-04-11,11,5,7,False,Bank H (Tier3),0.433,6,2499.0,high,bank_server_error,False
mandate_00016,payer_00016,3,2026-04-15,15,2,19,False,Bank F (Tier2),0.433,6,199.0,low,insufficient_funds,True
mandate_00017,payer_00017,1,2025-06-18,18,2,14,False,Bank D (Tier2),0.733,30,999.0,medium,,False
mandate_00017,payer_00017,2,2025-06-21,21,5,18,False,Bank B (Tier1),0.733,30,2499.0,high,insufficient_funds,False
mandate_00017,payer_00017,3,2025-06-23,23,0,6,False,Bank H (Tier3),0.733,30,2499.0,high,insufficient_funds,False
mandate_00017,payer_00017,4,2025-06-27,27,4,14,False,Bank E (Tier2),0.733,30,1499.0,medium,insufficient_funds,True
mandate_00018,payer_00018,1,2025-12-03,3,2,14,True,Bank C (Tier1),0.322,31,4999.0,high,,False
mandate_00018,payer_00018,2,2025-12-07,7,6,19,False,Bank C (Tier1),0.322,31,299.0,low,account_frozen,False
mandate_00018,payer_00018,3,2025-12-12,12,4,13,False,Bank A (Tier1),0.322,31,2499.0,high,bank_server_error,False
mandate_00018,payer_00018,4,2025-12-14,14,6,11,False,Bank A (Tier1),0.322,31,999.0,medium,insufficient_funds,True
mandate_00019,payer_00019,1,2025-08-16,16,5,12,False,Bank A (Tier1),0.572,14,4999.0,high,,False
mandate_00019,payer_00019,2,2025-08-20,20,2,9,False,Bank H (Tier3),0.572,14,499.0,low,insufficient_funds,False
mandate_00019,payer_00019,3,2025-08-24,24,6,11,False,Bank A (Tier1),0.572,14,299.0,low,limit_exceeded,False
mandate_00019,payer_00019,4,2025-08-29,29,4,14,True,Bank E (Tier2),0.572,14,199.0,low,insufficient_funds,False
mandate_00020,payer_00020,1,2026-04-30,30,3,11,True,Bank G (Tier3),0.829,29,199.0,low,,True
mandate_00021,payer_00021,1,2025-04-03,3,3,20,True,Bank H (Tier3),0.404,1,4999.0,high,,True
mandate_00022,payer_00022,1,2025-07-01,1,1,7,True,Bank A (Tier1),0.486,21,499.0,low,,True
mandate_00023,payer_00023,1,2025-10-16,16,3,7,False,Bank E (Tier2),0.949,17,2499.0,high,,False
mandate_00023,payer_00023,2,2025-10-20,20,0,18,False,Bank D (Tier2),0.949,17,4999.0,high,bank_server_error,True
mandate_00024,payer_00024,1,2025-02-07,7,4,19,False,Bank G (Tier3),0.382,24,299.0,low,,True
mandate_00025,payer_00025,1,2025-05-23,23,4,17,False,Bank C (Tier1),0.566,17,4999.0,high,,True
mandate_00026,payer_00026,1,2025-04-23,23,2,13,False,Bank B (Tier1),0.629,4,499.0,low,,True
mandate_00027,payer_00027,1,2026-01-12,12,0,15,False,Bank C (Tier1),0.754,21,499.0,low,,True
mandate_00028,payer_00028,1,2026-05-20,20,2,16,False,Bank F (Tier2),0.672,10,199.0,low,,True
mandate_00029,payer_00029,1,2026-01-04,4,6,7,False,Bank D (Tier2),0.708,15,999.0,medium,,True
mandate_00030,payer_00030,1,2026-02-25,25,2,13,False,Bank G (Tier3),0.869,34,299.0,low,,True
mandate_00031,payer_00031,1,2025-10-26,26,6,21,False,Bank E (Tier2),0.566,11,2499.0,high,,False
mandate_00031,payer_00031,2,2025-10-31,31,4,12,True,Bank A (Tier1),0.566,11,2499.0,high,bank_server_error,False
mandate_00031,payer_00031,3,2025-11-03,3,0,22,True,Bank D (Tier2),0.566,11,4999.0,high,insufficient_funds,True
mandate_00032,payer_00032,1,2025-03-20,20,3,16,False,Bank A (Tier1),0.596,15,199.0,low,,False
mandate_00032,payer_00032,2,2025-03-23,23,6,8,False,Bank E (Tier2),0.596,15,4999.0,high,bank_server_error,True
mandate_00033,payer_00033,1,2025-04-17,17,3,11,False,Bank E (Tier2),0.764,15,499.0,low,,True
mandate_00034,payer_00034,1,2025-08-14,14,3,18,False,Bank D (Tier2),0.849,28,299.0,low,,False
mandate_00034,payer_00034,2,2025-08-18,18,0,17,False,Bank B (Tier1),0.849,28,499.0,low,technical_decline,False
mandate_00034,payer_00034,3,2025-08-20,20,2,16,False,Bank D (Tier2),0.849,28,499.0,low,insufficient_funds,False
mandate_00034,payer_00034,4,2025-08-22,22,4,9,False,Bank G (Tier3),0.849,28,999.0,medium,technical_decline,False
mandate_00035,payer_00035,1,2026-05-17,17,6,22,False,Bank G (Tier3),0.801,27,4999.0,high,,False
mandate_00035,payer_00035,2,2026-05-19,19,1,16,False,Bank D (Tier2),0.801,27,1499.0,medium,insufficient_funds,False
mandate_00035,payer_00035,3,2026-05-22,22,4,13,False,Bank A (Tier1),0.801,27,499.0,low,insufficient_funds,True
mandate_00036,payer_00036,1,2025-04-14,14,0,15,False,Bank G (Tier3),0.867,18,4999.0,high,,True
mandate_00037,payer_00037,1,2025-05-20,20,1,17,False,Bank B (Tier1),0.758,26,1499.0,medium,,True
mandate_00038,payer_00038,1,2025-02-05,5,2,8,False,Bank G (Tier3),0.405,22,199.0,low,,False
mandate_00038,payer_00038,2,2025-02-07,7,4,16,False,Bank G (Tier3),0.405,22,199.0,low,technical_decline,True
mandate_00039,payer_00039,1,2026-05-03,3,6,8,True,Bank E (Tier2),0.7,14,1499.0,medium,,True
mandate_00040,payer_00040,1,2025-04-18,18,4,20,False,Bank H (Tier3),0.262,18,1499.0,medium,,False
mandate_00040,payer_00040,2,2025-04-21,21,0,6,False,Bank B (Tier1),0.262,18,2499.0,high,insufficient_funds,False
mandate_00040,payer_00040,3,2025-04-23,23,2,10,False,Bank E (Tier2),0.262,18,999.0,medium,limit_exceeded,False
mandate_00040,payer_00040,4,2025-04-27,27,6,14,False,Bank A (Tier1),0.262,18,4999.0,high,insufficient_funds,False
mandate_00041,payer_00041,1,2025-05-03,3,5,13,True,Bank D (Tier2),0.264,26,299.0,low,,False
mandate_00041,payer_00041,2,2025-05-06,6,1,15,False,Bank H (Tier3),0.264,26,299.0,low,insufficient_funds,False
mandate_00041,payer_00041,3,2025-05-07,7,2,22,False,Bank G (Tier3),0.264,26,2499.0,high,bank_server_error,False
mandate_00041,payer_00041,4,2025-05-11,11,6,7,False,Bank G (Tier3),0.264,26,199.0,low,bank_server_error,False
mandate_00042,payer_00042,1,2025-10-01,1,2,18,True,Bank F (Tier2),0.529,29,299.0,low,,True
mandate_00043,payer_00043,1,2025-02-10,10,0,11,False,Bank D (Tier2),0.766,17,999.0,medium,,False
mandate_00043,payer_00043,2,2025-02-15,15,5,18,False,Bank B (Tier1),0.766,17,299.0,low,insufficient_funds,False
mandate_00043,payer_00043,3,2025-02-18,18,1,12,False,Bank G (Tier3),0.766,17,1499.0,medium,bank_server_error,True
mandate_00044,payer_00044,1,2025-09-18,18,3,7,False,Bank B (Tier1),0.593,26,4999.0,high,,True
mandate_00045,payer_00045,1,2026-01-14,14,2,11,False,Bank F (Tier2),0.491,8,4999.0,high,,False
mandate_00045,payer_00045,2,2026-01-15,15,3,6,False,Bank C (Tier1),0.491,8,299.0,low,insufficient_funds,False
mandate_00045,payer_00045,3,2026-01-20,20,1,17,False,Bank H (Tier3),0.491,8,299.0,low,bank_server_error,False
mandate_00045,payer_00045,4,2026-01-22,22,3,9,False,Bank B (Tier1),0.491,8,199.0,low,insufficient_funds,True
mandate_00046,payer_00046,1,2026-01-11,11,6,13,False,Bank D (Tier2),0.247,1,1499.0,medium,,False
mandate_00046,payer_00046,2,2026-01-15,15,3,11,False,Bank C (Tier1),0.247,1,1499.0,medium,insufficient_funds,True
mandate_00047,payer_00047,1,2025-12-22,22,0,12,False,Bank D (Tier2),0.552,28,499.0,low,,True
mandate_00048,payer_00048,1,2025-04-23,23,2,16,False,Bank A (Tier1),0.448,4,1499.0,medium,,True
mandate_00049,payer_00049,1,2025-10-09,9,3,22,False,Bank G (Tier3),0.572,24,2499.0,high,,False
mandate_00049,payer_00049,2,2025-10-14,14,1,14,False,Bank G (Tier3),0.572,24,299.0,low,insufficient_funds,False
mandate_00049,payer_00049,3,2025-10-18,18,5,15,False,Bank D (Tier2),0.572,24,4999.0,high,technical_decline,False
mandate_00049,payer_00049,4,2025-10-19,19,6,7,False,Bank D (Tier2),0.572,24,199.0,low,technical_decline,True
mandate_00050,payer_00050,1,2026-04-06,6,0,8,False,Bank D (Tier2),0.586,7,199.0,low,,True
mandate_00051,payer_00051,1,2025-10-27,27,0,18,False,Bank H (Tier3),0.681,12,499.0,low,,True
mandate_00052,payer_00052,1,2025-10-02,2,3,13,True,Bank G (Tier3),0.761,11,299.0,low,,True
mandate_00053,payer_00053,1,2025-06-29,29,6,9,True,Bank H (Tier3),0.864,34,999.0,medium,,True
mandate_00054,payer_00054,1,2025-04-12,12,5,17,False,Bank B (Tier1),0.698,6,2499.0,high,,True
mandate_00055,payer_00055,1,2025-10-04,4,5,11,False,Bank C (Tier1),0.634,35,499.0,low,,True
mandate_00056,payer_00056,1,2026-01-27,27,1,9,False,Bank E (Tier2),0.591,25,299.0,low,,True
mandate_00057,payer_00057,1,2025-11-05,5,2,22,False,Bank A (Tier1),0.337,18,999.0,medium,,False
mandate_00057,payer_00057,2,2025-11-07,7,4,18,False,Bank E (Tier2),0.337,18,299.0,low,insufficient_funds,False
mandate_00057,payer_00057,3,2025-11-10,10,0,20,False,Bank D (Tier2),0.337,18,299.0,low,insufficient_funds,False
mandate_00057,payer_00057,4,2025-11-13,13,3,10,False,Bank H (Tier3),0.337,18,1499.0,medium,insufficient_funds,True
mandate_00058,payer_00058,1,2025-07-03,3,3,11,True,Bank A (Tier1),0.758,35,299.0,low,,True
mandate_00059,payer_00059,1,2025-06-02,2,0,11,True,Bank C (Tier1),0.536,12,499.0,low,,True
mandate_00060,payer_00060,1,2025-06-09,9,0,11,False,Bank H (Tier3),0.284,1,2499.0,high,,False
mandate_00060,payer_00060,2,2025-06-14,14,5,19,False,Bank G (Tier3),0.284,1,199.0,low,insufficient_funds,False
mandate_00060,payer_00060,3,2025-06-15,15,6,18,False,Bank G (Tier3),0.284,1,2499.0,high,technical_decline,False
mandate_00060,payer_00060,4,2025-06-17,17,1,7,False,Bank G (Tier3),0.284,1,199.0,low,limit_exceeded,True
mandate_00061,payer_00061,1,2026-02-08,8,6,14,False,Bank E (Tier2),0.383,33,2499.0,high,,False
mandate_00061,payer_00061,2,2026-02-13,13,4,13,False,Bank A (Tier1),0.383,33,1499.0,medium,insufficient_funds,True
mandate_00062,payer_00062,1,2025-01-27,27,0,20,False,Bank B (Tier1),0.578,5,4999.0,high,,True
mandate_00063,payer_00063,1,2026-05-03,3,6,10,True,Bank D (Tier2),0.563,11,999.0,medium,,True
mandate_00064,payer_00064,1,2025-11-29,29,5,14,True,Bank D (Tier2),0.682,23,999.0,medium,,False
mandate_00064,payer_00064,2,2025-12-04,4,3,20,False,Bank H (Tier3),0.682,23,1499.0,medium,insufficient_funds,False
mandate_00064,payer_00064,3,2025-12-06,6,5,11,False,Bank E (Tier2),0.682,23,2499.0,high,bank_server_error,True
mandate_00065,payer_00065,1,2025-05-24,24,5,7,False,Bank F (Tier2),0.727,33,299.0,low,,False
mandate_00065,payer_00065,2,2025-05-27,27,1,7,False,Bank B (Tier1),0.727,33,999.0,medium,technical_decline,False
mandate_00065,payer_00065,3,2025-05-31,31,5,11,True,Bank B (Tier1),0.727,33,299.0,low,insufficient_funds,True
mandate_00066,payer_00066,1,2025-09-15,15,0,18,False,Bank A (Tier1),0.884,12,299.0,low,,False
mandate_00066,payer_00066,2,2025-09-20,20,5,7,False,Bank H (Tier3),0.884,12,4999.0,high,technical_decline,False
mandate_00066,payer_00066,3,2025-09-22,22,0,17,False,Bank C (Tier1),0.884,12,499.0,low,technical_decline,True
mandate_00067,payer_00067,1,2025-09-05,5,4,17,False,Bank B (Tier1),0.893,30,999.0,medium,,True
mandate_00068,payer_00068,1,2025-02-25,25,1,13,False,Bank F (Tier2),0.796,23,499.0,low,,False
mandate_00068,payer_00068,2,2025-02-26,26,2,11,False,Bank A (Tier1),0.796,23,2499.0,high,insufficient_funds,True
mandate_00069,payer_00069,1,2026-04-02,2,3,15,True,Bank C (Tier1),0.345,19,199.0,low,,True
mandate_00070,payer_00070,1,2025-05-19,19,0,12,False,Bank E (Tier2),0.672,11,499.0,low,,True
mandate_00071,payer_00071,1,2025-01-10,10,4,10,False,Bank E (Tier2),0.458,16,499.0,low,,False
mandate_00071,payer_00071,2,2025-01-15,15,2,13,False,Bank A (Tier1),0.458,16,1499.0,medium,bank_server_error,False
mandate_00071,payer_00071,3,2025-01-16,16,3,6,False,Bank E (Tier2),0.458,16,199.0,low,limit_exceeded,False
mandate_00071,payer_00071,4,2025-01-17,17,4,16,False,Bank G (Tier3),0.458,16,1499.0,medium,technical_decline,False
mandate_00072,payer_00072,1,2026-04-20,20,0,15,False,Bank A (Tier1),0.329,9,199.0,low,,False
mandate_00072,payer_00072,2,2026-04-23,23,3,21,False,Bank B (Tier1),0.329,9,499.0,low,insufficient_funds,True
mandate_00073,payer_00073,1,2025-07-05,5,5,18,False,Bank H (Tier3),0.822,33,1499.0,medium,,True
mandate_00074,payer_00074,1,2025-04-01,1,1,9,True,Bank E (Tier2),0.593,15,1499.0,medium,,True
mandate_00075,payer_00075,1,2025-06-17,17,1,6,False,Bank A (Tier1),0.568,14,4999.0,high,,False
mandate_00075,payer_00075,2,2025-06-19,19,3,20,False,Bank D (Tier2),0.568,14,999.0,medium,insufficient_funds,False
mandate_00075,payer_00075,3,2025-06-22,22,6,21,False,Bank E (Tier2),0.568,14,1499.0,medium,insufficient_funds,True
mandate_00076,payer_00076,1,2025-01-02,2,3,8,True,Bank C (Tier1),0.465,35,299.0,low,,False
mandate_00076,payer_00076,2,2025-01-04,4,5,6,False,Bank H (Tier3),0.465,35,2499.0,high,insufficient_funds,False
mandate_00076,payer_00076,3,2025-01-06,6,0,11,False,Bank H (Tier3),0.465,35,299.0,low,bank_server_error,False
mandate_00076,payer_00076,4,2025-01-08,8,2,12,False,Bank E (Tier2),0.465,35,299.0,low,insufficient_funds,True
mandate_00077,payer_00077,1,2025-02-22,22,5,20,False,Bank G (Tier3),0.282,9,1499.0,medium,,True
mandate_00078,payer_00078,1,2025-07-21,21,0,18,False,Bank A (Tier1),0.689,14,999.0,medium,,False
mandate_00078,payer_00078,2,2025-07-26,26,5,7,False,Bank G (Tier3),0.689,14,4999.0,high,technical_decline,True
mandate_00079,payer_00079,1,2025-02-18,18,1,15,False,Bank B (Tier1),0.864,22,999.0,medium,,False
mandate_00079,payer_00079,2,2025-02-19,19,2,12,False,Bank H (Tier3),0.864,22,999.0,medium,bank_server_error,True
mandate_00080,payer_00080,1,2025-03-23,23,6,17,False,Bank H (Tier3),0.284,18,199.0,low,,False
mandate_00080,payer_00080,2,2025-03-24,24,0,10,False,Bank D (Tier2),0.284,18,499.0,low,insufficient_funds,True
mandate_00081,payer_00081,1,2025-09-10,10,2,8,False,Bank C (Tier1),0.941,19,199.0,low,,False
mandate_00081,payer_00081,2,2025-09-13,13,5,7,False,Bank G (Tier3),0.941,19,1499.0,medium,insufficient_funds,True
mandate_00082,payer_00082,1,2025-05-10,10,5,22,False,Bank G (Tier3),0.595,1,299.0,low,,False
mandate_00082,payer_00082,2,2025-05-15,15,3,20,False,Bank G (Tier3),0.595,1,1499.0,medium,technical_decline,False
mandate_00082,payer_00082,3,2025-05-17,17,5,9,False,Bank B (Tier1),0.595,1,499.0,low,bank_server_error,True
mandate_00083,payer_00083,1,2025-05-01,1,3,13,True,Bank G (Tier3),0.466,25,2499.0,high,,True
mandate_00084,payer_00084,1,2026-05-03,3,6,11,True,Bank C (Tier1),0.517,16,4999.0,high,,True
mandate_00085,payer_00085,1,2025-09-30,30,1,21,True,Bank E (Tier2),0.417,8,499.0,low,,True
mandate_00086,payer_00086,1,2025-09-23,23,1,21,False,Bank A (Tier1),0.849,16,2499.0,high,,True
mandate_00087,payer_00087,1,2026-04-03,3,4,21,True,Bank H (Tier3),0.767,5,199.0,low,,True
mandate_00088,payer_00088,1,2026-02-01,1,6,20,True,Bank G (Tier3),0.684,19,199.0,low,,True
mandate_00089,payer_00089,1,2026-05-19,19,1,7,False,Bank H (Tier3),0.73,24,1499.0,medium,,True
mandate_00090,payer_00090,1,2025-11-17,17,0,8,False,Bank H (Tier3),0.818,22,999.0,medium,,False
mandate_00090,payer_00090,2,2025-11-22,22,5,14,False,Bank A (Tier1),0.818,22,1499.0,medium,account_frozen,True
mandate_00091,payer_00091,1,2025-08-09,9,5,16,False,Bank F (Tier2),0.809,20,299.0,low,,False
mandate_00091,payer_00091,2,2025-08-10,10,6,7,False,Bank A (Tier1),0.809,20,1499.0,medium,account_frozen,False
mandate_00091,payer_00091,3,2025-08-12,12,1,16,False,Bank A (Tier1),0.809,20,499.0,low,technical_decline,False
mandate_00091,payer_00091,4,2025-08-14,14,3,11,False,Bank E (Tier2),0.809,20,1499.0,medium,limit_exceeded,False
mandate_00092,payer_00092,1,2025-07-21,21,0,11,False,Bank C (Tier1),0.738,1,999.0,medium,,True
mandate_00093,payer_00093,1,2025-01-28,28,1,14,True,Bank H (Tier3),0.271,35,499.0,low,,True
mandate_00094,payer_00094,1,2025-01-21,21,1,20,False,Bank C (Tier1),0.582,23,2499.0,high,,True
mandate_00095,payer_00095,1,2026-02-26,26,3,12,False,Bank H (Tier3),0.727,29,299.0,low,,False
mandate_00095,payer_00095,2,2026-03-02,2,0,16,True,Bank E (Tier2),0.727,29,999.0,medium,insufficient_funds,True
mandate_00096,payer_00096,1,2025-04-26,26,5,22,False,Bank F (Tier2),0.534,17,2499.0,high,,True
mandate_00097,payer_00097,1,2025-11-23,23,6,6,False,Bank H (Tier3),0.497,9,4999.0,high,,False
mandate_00097,payer_00097,2,2025-11-26,26,2,7,False,Bank A (Tier1),0.497,9,299.0,low,insufficient_funds,False
mandate_00097,payer_00097,3,2025-11-27,27,3,22,False,Bank E (Tier2),0.497,9,299.0,low,insufficient_funds,False
mandate_00097,payer_00097,4,2025-11-29,29,5,21,True,Bank E (Tier2),0.497,9,499.0,low,technical_decline,False
mandate_00098,payer_00098,1,2026-03-29,29,6,16,True,Bank E (Tier2),0.791,34,999.0,medium,,True
mandate_00099,payer_00099,1,2025-01-20,20,0,8,False,Bank E (Tier2),0.153,16,4999.0,high,,True
mandate_00100,payer_00100,1,2026-03-03,3,1,13,True,Bank D (Tier2),0.69,10,199.0,low,,True
mandate_00101,payer_00101,1,2026-04-30,30,3,13,True,Bank H (Tier3),0.591,9,499.0,low,,True
mandate_00102,payer_00102,1,2025-04-05,5,5,16,False,Bank D (Tier2),0.834,18,199.0,low,,True
mandate_00103,payer_00103,1,2026-06-26,26,4,10,False,Bank B (Tier1),0.201,22,199.0,low,,False
mandate_00103,payer_00103,2,2026-06-29,29,0,14,True,Bank F (Tier2),0.201,22,299.0,low,insufficient_funds,True
mandate_00104,payer_00104,1,2026-02-01,1,6,7,True,Bank F (Tier2),0.843,33,199.0,low,,True
mandate_00105,payer_00105,1,2026-06-28,28,6,15,True,Bank G (Tier3),0.787,34,499.0,low,,False
mandate_00105,payer_00105,2,2026-07-03,3,4,12,True,Bank H (Tier3),0.787,34,199.0,low,insufficient_funds,True
mandate_00106,payer_00106,1,2025-01-15,15,2,13,False,Bank A (Tier1),0.773,20,1499.0,medium,,True
mandate_00107,payer_00107,1,2025-02-17,17,0,16,False,Bank G (Tier3),0.744,1,499.0,low,,True
mandate_00108,payer_00108,1,2026-05-03,3,6,7,True,Bank H (Tier3),0.566,19,999.0,medium,,False
mandate_00108,payer_00108,2,2026-05-06,6,2,14,False,Bank F (Tier2),0.566,19,499.0,low,insufficient_funds,True
mandate_00109,payer_00109,1,2025-09-07,7,6,9,False,Bank E (Tier2),0.805,25,2499.0,high,,True
mandate_00110,payer_00110,1,2026-05-18,18,0,11,False,Bank D (Tier2),0.332,29,2499.0,high,,False
mandate_00110,payer_00110,2,2026-05-22,22,4,19,False,Bank G (Tier3),0.332,29,999.0,medium,technical_decline,False
mandate_00110,payer_00110,3,2026-05-24,24,6,21,False,Bank H (Tier3),0.332,29,299.0,low,insufficient_funds,False
mandate_00110,payer_00110,4,2026-05-27,27,2,10,False,Bank C (Tier1),0.332,29,1499.0,medium,technical_decline,False
mandate_00111,payer_00111,1,2025-12-11,11,3,13,False,Bank D (Tier2),0.98,31,299.0,low,,True
mandate_00112,payer_00112,1,2025-07-26,26,5,20,False,Bank F (Tier2),0.839,24,299.0,low,,False
mandate_00112,payer_00112,2,2025-07-30,30,2,18,True,Bank H (Tier3),0.839,24,499.0,low,technical_decline,True
mandate_00113,payer_00113,1,2025-02-06,6,3,9,False,Bank D (Tier2),0.689,21,4999.0,high,,False
mandate_00113,payer_00113,2,2025-02-11,11,1,15,False,Bank C (Tier1),0.689,21,499.0,low,technical_decline,True
mandate_00114,payer_00114,1,2026-01-12,12,0,15,False,Bank C (Tier1),0.348,4,499.0,low,,False
mandate_00114,payer_00114,2,2026-01-14,14,2,15,False,Bank A (Tier1),0.348,4,2499.0,high,insufficient_funds,False
mandate_00114,payer_00114,3,2026-01-16,16,4,11,False,Bank D (Tier2),0.348,4,499.0,low,technical_decline,False
mandate_00114,payer_00114,4,2026-01-19,19,0,11,False,Bank F (Tier2),0.348,4,199.0,low,insufficient_funds,False
mandate_00115,payer_00115,1,2025-11-15,15,5,18,False,Bank C (Tier1),0.893,2,2499.0,high,,True
mandate_00116,payer_00116,1,2025-09-23,23,1,12,False,Bank H (Tier3),0.253,9,999.0,medium,,False
mandate_00116,payer_00116,2,2025-09-25,25,3,19,False,Bank B (Tier1),0.253,9,2499.0,high,technical_decline,False
mandate_00116,payer_00116,3,2025-09-30,30,1,6,True,Bank E (Tier2),0.253,9,1499.0,medium,bank_server_error,False
mandate_00116,payer_00116,4,2025-10-02,2,3,9,True,Bank H (Tier3),0.253,9,499.0,low,technical_decline,False
mandate_00117,payer_00117,1,2025-05-16,16,4,8,False,Bank B (Tier1),0.555,36,2499.0,high,,True
mandate_00118,payer_00118,1,2025-10-15,15,2,13,False,Bank A (Tier1),0.525,27,4999.0,high,,False
mandate_00118,payer_00118,2,2025-10-18,18,5,8,False,Bank D (Tier2),0.525,27,499.0,low,insufficient_funds,False
mandate_00118,payer_00118,3,2025-10-19,19,6,21,False,Bank H (Tier3),0.525,27,499.0,low,insufficient_funds,False
mandate_00118,payer_00118,4,2025-10-20,20,0,13,False,Bank B (Tier1),0.525,27,1499.0,medium,limit_exceeded,False
mandate_00119,payer_00119,1,2025-11-11,11,1,20,False,Bank A (Tier1),0.697,5,499.0,low,,True
mandate_00120,payer_00120,1,2025-09-16,16,1,19,False,Bank B (Tier1),0.568,29,2499.0,high,,True
mandate_00121,payer_00121,1,2025-04-12,12,5,20,False,Bank F (Tier2),0.763,14,999.0,medium,,False
mandate_00121,payer_00121,2,2025-04-17,17,3,14,False,Bank F (Tier2),0.763,14,4999.0,high,technical_decline,False
mandate_00121,payer_00121,3,2025-04-21,21,0,11,False,Bank A (Tier1),0.763,14,1499.0,medium,insufficient_funds,False
mandate_00121,payer_00121,4,2025-04-22,22,1,19,False,Bank G (Tier3),0.763,14,1499.0,medium,technical_decline,False
mandate_00122,payer_00122,1,2025-03-26,26,2,16,False,Bank G (Tier3),0.723,6,199.0,low,,False
mandate_00122,payer_00122,2,2025-03-28,28,4,7,True,Bank A (Tier1),0.723,6,999.0,medium,insufficient_funds,False
mandate_00122,payer_00122,3,2025-03-30,30,6,10,True,Bank F (Tier2),0.723,6,299.0,low,insufficient_funds,False
mandate_00122,payer_00122,4,2025-04-03,3,3,7,True,Bank G (Tier3),0.723,6,1499.0,medium,technical_decline,False
mandate_00123,payer_00123,1,2025-11-13,13,3,12,False,Bank E (Tier2),0.886,16,2499.0,high,,False
mandate_00123,payer_00123,2,2025-11-14,14,4,13,False,Bank A (Tier1),0.886,16,999.0,medium,insufficient_funds,True
mandate_00124,payer_00124,1,2025-11-22,22,5,9,False,Bank F (Tier2),0.695,16,2499.0,high,,True
mandate_00125,payer_00125,1,2025-04-24,24,3,13,False,Bank A (Tier1),0.93,14,1499.0,medium,,True
